
5★
empathy,You're Quite Handsome,1980,1048,360,335,,,empathy,Min Meowmoew on the Keyboard,1800,1080,360,360,,,empathy,Smiling Angel,1746,1188,335,360,,,passion,Classic,1080,1188,698,670,,,empathy,Alone in the Practice Room,1746,1188,335,360,,,empathy,Wink,1800,1188,349,335,,,empathy,National Team Athlete,1674,1080,349,396
stamina,Worldwide Handsome,1080,698,1188,670,,,passion,Twinkle Twinkle,360,1980,1048,335,,,passion,"Let's Play, Friend!",360,1980,1048,335,,,passion,Professional,1397,1440,335,396,,,passion,Dancing Mang-gae-ddeok,360,1980,1048,335,,,passion,Wise Guy,349,1800,1004,396,,,empathy,The Name's Jung Kook,1048,1188,670,720
passion,Ready For Work,360,1980,1004,349,,,wisdom,Adjacent Library Seat,1048,720,670,1188,,,passion,White-coated Angel,1397,1440,335,396,,,passion,Smile,349,1980,1004,360,,,wisdom,World's Greatest Swordsman,1397,360,335,1584,,,passion,I Purple You,1048,1188,670,720,,,passion,To the Store,1584,1339,360,349
wisdom,Pleased to Meet You,1440,360,360,1440,,,stamina,The Decisive Moment,1584,349,1440,335,,,empathy,See-Through Umbrella,1188,1048,720,670,,,empathy,Private Eye,1980,1048,360,335,,,stamina,Nighttime Stroll,1080,670,1188,698,,,stamina,Orchard Boy,1397,396,1339,360,,,passion,Golden Maknae,349,1980,1004,360
wisdom,Cherry Blossom Jin,1080,198,175,2009,,,empathy,Cherry Blossom SUGA,2095,1188,167,180,,,stamina,Cherry Blossom j-hope,210,180,2009,1188,,,stamina,Cherry Blossom RM,238,175,2160,1004,,,passion,Cherry Blossom Jimin,1048,2376,167,180,,,wisdom,Cherry Blossom V,1004,180,175,2376,,,empathy,Cherry Blossom Jung Kook,2376,1048,180,167
passion,Dreamland Jin,175,2160,1004,198,,,passion,Dreamland SUGA,180,2376,1004,175,,,wisdom,Dreamland j-hope,198,1048,180,2009,,,empathy,Dreamland RM,2095,198,1004,180,,,stamina,Dreamland Jimin,180,1188,2095,167,,,wisdom,Dreamland V,198,1048,180,2009,,,passion,Dreamland Jung Kook,198,2009,1080,175
stamina,Romantic Jin,1188,349,1800,335,,,stamina,Romantic SUGA,1080,396,1746,335,,,stamina,Romantic j-hope,1048,396,1674,360,,,stamina,Romantic RM,1080,396,1746,335,,,stamina,Romantic Jimin,1048,360,1674,396,,,stamina,Romantic V,1188,335,1800,349,,,stamina,Romantic Jung Kook,1048,396,1674,360
wisdom,FAKE LOVE Jin,1048,1188,335,1080,,,passion,FAKE LOVE SUGA,1048,1080,335,1188,,,stamina,FAKE LOVE j-hope,360,1188,1048,1004,,,passion,FAKE LOVE RM,1048,1080,1004,396,,,wisdom,FAKE LOVE Jimin,1188,349,1080,1004,,,stamina,FAKE LOVE V,349,1188,1004,1080,,,passion,FAKE LOVE Jung Kook,1004,1188,1048,360
wisdom,Red Carpet Jin,1080,198,167,2095,,,wisdom,Red Carpet SUGA,198,1048,180,2009,,,wisdom,Red Carpet j-hope,175,180,1004,2376,,,wisdom,Red Carpet RM,1188,175,180,2009,,,wisdom,Red Carpet Jimin,175,1188,167,2160,,,wisdom,Red Carpet V,167,198,1048,2160,,,wisdom,Red Carpet Jung Kook,1188,167,180,2095
4★
empathy,Looks Working Overtime,1056,893,640,621,,,empathy,Metronome,893,640,931,704,,,empathy,Pretty Pretty,1242,352,595,960,,,empathy,Collecting Evidence,1056,931,640,595,,,empathy,Playlist,1280,320,640,960,,,empathy,Shocking Visual,1280,352,595,931,,,passion,Ray of Sunshine,176,1862,160,893
empathy,"Special Service",1280,310,704,893,,,passion,Pure White Sugar,298,1408,931,640,,,passion,"Sit, Wait",320,1760,893,310,,,wisdom,Sherlock Namjun,1242,320,298,1408,,,passion,Eye Contact,160,2112,155,893,,,passion,Taetae's Laboratory,960,1600,320,320,,,empathy,Taekwon Boy,1600,352,931,298
passion,Man with a Flower,320,1190,1056,621,,,stamina,Bowtie,320,960,1600,320,,,stamina,Great Work,1190,320,1242,352,,,passion,Decisive Clue,310,1408,893,640,,,passion,Sweet Pâtissier,931,1600,298,352,,,stamina,Brilliant Glasses,160,1056,1862,149,,,stamina,Black Belt,1242,320,1190,352
passion,A Beaming Smile,310,1280,1190,352,,,passion,A Pianist,1280,1408,310,298,,,wisdom,Doctor Hope,298,352,1242,1280,,,empathy,Trench Coat,1280,352,1190,310,,,empathy,Kendo Hopeful,1408,1242,320,298,,,passion,Cherry Blossom Opening,1242,1280,298,352,,,wisdom,Cheerful Lad,310,352,1190,1280
stamina,Too Sweet,352,298,1280,1242,,,stamina,An Autumn Letter,310,1280,1190,352,,,empathy,Group Project,1056,595,640,931,,,passion,Handsome Dimple Guy,298,1280,310,1408,,,passion,Trivial Worries,310,1408,1190,320,,,stamina,Time to Eat,352,1242,1280,298,,,empathy,Excited,1280,352,298,1242
"stamina",Broad-Shouldered,640,310,1408,893,,,wisdom,Many Worries,704,931,320,1190,,,stamina,"Eh, No Idea",640,352,1242,893,,,stamina,Kim Daily,595,352,1242,960,,,stamina,So Sleepy,640,352,1190,931,,,wisdom,It's Dangerous Out There,621,1056,298,1280,,,stamina,Spaced Out,640,320,1280,960
empathy,Checkmate,1600,893,352,310,,,passion,Young Master,931,1760,298,320,,,wisdom,Gentleman,931,320,298,1760,,,stamina,Charisma,320,320,1600,960,,,stamina,Bodyguard,298,960,1552,352,,,empathy,One Wish,1600,1056,298,310,,,passion,Red Sun,960,1760,310,298
